id,currencyType,USDprice,BTCprice,moment_tstamp
114,USD,2236.54,0.00045,2017-05-28+05:13:43
115,USD,2235.87,0.00045,2017-05-28+05:14:43
116,USD,2236.15,0.00045,2017-05-28+05:15:42
117,USD,2234.41,0.00045,2017-05-28+05:16:43
118,USD,2237.86,0.00045,2017-05-28+05:17:43
119,USD,2237.38,0.00045,2017-05-28+05:18:27
120,USD,2237.38,0.00045,2017-05-28+05:18:28
121,USD,2237.38,0.00045,2017-05-28+05:18:29
122,USD,2237.38,0.00045,2017-05-28+05:18:30
123,USD,2237.38,0.00045,2017-05-28+05:18:31
124,USD,2237.38,0.00045,2017-05-28+05:18:32
125,USD,2237.38,0.00045,2017-05-28+05:18:33
126,USD,2237.38,0.00045,2017-05-28+05:18:34
127,USD,2237.38,0.00045,2017-05-28+05:18:35
128,USD,2237.38,0.00045,2017-05-28+05:18:36
129,USD,2237.38,0.00045,2017-05-28+05:18:37
130,USD,2237.38,0.00045,2017-05-28+05:18:38
131,USD,2237.38,0.00045,2017-05-28+05:18:39
132,USD,2237.38,0.00045,2017-05-28+05:18:40
133,USD,2237.38,0.00045,2017-05-28+05:18:41
134,USD,2237.38,0.00045,2017-05-28+05:18:42
135,USD,2237.38,0.00045,2017-05-28+05:18:43
136,USD,2237.38,0.00045,2017-05-28+05:18:44
137,USD,2237.31,0.00045,2017-05-28+05:18:45
138,USD,2237.31,0.00045,2017-05-28+05:18:46
139,USD,2237.31,0.00045,2017-05-28+05:18:47
140,USD,2237.31,0.00045,2017-05-28+05:18:48
141,USD,2237.38,0.00045,2017-05-28+05:18:49
142,USD,2237.38,0.00045,2017-05-28+05:18:50
143,USD,2237.38,0.00045,2017-05-28+05:18:51
144,USD,2237.38,0.00045,2017-05-28+05:18:52
145,USD,2237.30,0.00045,2017-05-28+05:18:53
146,USD,2237.31,0.00045,2017-05-28+05:18:54
147,USD,2237.30,0.00045,2017-05-28+05:18:55
148,USD,2236.61,0.00045,2017-05-28+05:18:56
149,USD,2235.54,0.00045,2017-05-28+05:19:58
150,USD,2230.95,0.00045,2017-05-28+05:20:58
151,USD,2230.04,0.00045,2017-05-28+05:21:58
152,USD,2226.10,0.00045,2017-05-28+05:22:58
153,USD,2218.98,0.00045,2017-05-28+05:23:58
154,USD,2226.38,0.00045,2017-05-28+05:24:58
